cvss,asset_criticality,internet_exposed,exploit_available,data_sensitivity,security_control_strength,patch_age_days,incident
2.3,10,1,1,10,5,7,1
6.6,5,0,0,2,3,64,0
2.6,5,1,0,5,5,109,0
6.8,10,0,0,6,3,33,1
8.3,4,1,0,9,1,43,1
6.8,3,1,1,7,7,30,1
7.3,3,0,0,6,1,82,0
2.4,8,1,0,8,9,29,0
5.0,7,1,0,9,7,1,0
5.1,6,0,0,9,6,108,0
5.5,5,1,0,2,5,83,0
7.4,4,0,0,3,6,70,0
2.1,1,0,0,2,9,13,0
7.8,5,0,0,10,2,7,0
9.5,4,0,0,2,2,109,0
8.1,10,0,1,3,5,37,1
5.7,2,1,1,5,7,88,1
4.6,3,0,0,1,7,49,0
4.7,1,1,1,5,3,56,1
3.6,7,0,0,2,3,69,0
8.1,4,0,1,5,2,4,1
4.0,8,0,1,3,1,119,1
2.3,7,1,0,6,7,73,0
8.2,8,1,0,2,9,28,0
2.0,8,0,0,6,6,87,0
10.0,2,1,0,6,2,107,1
5.7,5,0,0,1,7,84,0
9.2,6,1,0,8,4,17,1
2.3,1,0,0,2,9,82,0
8.7,8,0,0,1,6,100,1
7.8,7,0,0,9,8,120,0
3.2,10,0,1,1,3,62,0
7.2,8,0,0,3,1,22,0
8.6,2,1,0,10,2,104,1
8.5,2,1,0,10,4,8,1
8.5,7,1,0,10,9,17,0
4.6,4,0,0,6,2,15,0
3.3,6,0,0,10,1,17,0
2.8,10,1,1,1,8,10,1
2.7,10,1,0,8,3,26,0
3.1,5,1,0,3,10,88,0
6.0,2,1,0,1,9,30,0
3.5,9,0,0,9,9,28,0
3.7,1,0,0,3,8,63,0
3.4,1,0,0,5,4,55,0
9.1,8,0,0,1,9,22,0
3.3,1,1,0,2,4,92,0
5.4,6,0,1,6,4,12,0
3.9,7,0,0,4,2,60,0
5.5,4,1,0,6,3,58,0
7.8,6,1,0,3,1,88,1
2.9,8,1,0,6,4,113,0
4.4,3,0,0,9,4,11,0
8.9,4,1,1,5,1,93,1
5.4,4,0,0,10,4,114,1
9.3,1,1,1,1,8,93,1
8.1,1,1,0,8,2,57,0
8.0,7,0,0,5,4,82,0
10.0,1,1,0,3,8,109,0
9.8,8,0,1,7,3,101,1
9.0,8,0,1,2,7,114,1
4.4,5,0,1,2,10,112,0
4.7,1,1,1,2,7,46,0
4.9,9,0,0,4,3,42,0
3.9,2,1,1,10,4,96,1
4.8,5,1,0,2,6,44,0
5.6,9,0,0,9,9,115,0
8.4,2,0,1,8,2,10,1
5.1,3,1,1,2,2,21,1
6.0,4,0,0,9,3,60,0
4.8,8,0,0,2,1,111,0
6.2,6,1,0,6,8,75,0
7.3,9,1,0,10,3,114,1
4.1,8,1,1,1,3,45,1
4.3,3,0,0,5,3,22,0
7.3,3,0,0,1,6,73,0
3.0,5,1,0,9,1,85,0
5.0,9,0,0,2,1,51,0
9.4,3,1,1,3,1,94,1
7.2,5,1,1,10,3,102,1
6.5,8,1,0,8,1,17,1
2.2,10,0,0,2,6,7,0
6.9,4,0,1,5,4,2,1
7.4,2,1,0,6,10,77,0
6.1,1,1,0,7,6,49,0
4.8,8,0,0,8,7,102,0
5.5,3,1,1,7,3,106,1
3.7,8,1,0,10,7,11,0
2.1,5,1,0,8,10,96,0
8.7,5,1,0,5,10,38,0
6.0,8,0,0,1,3,33,0
7.1,2,1,0,8,4,3,1
3.0,5,1,1,2,10,95,0
5.5,5,1,1,2,6,65,1
7.9,1,1,0,1,3,40,0
4.9,1,1,0,6,1,37,0
4.3,2,0,1,3,2,76,0
9.0,5,1,0,6,2,68,1
6.6,3,0,0,5,6,99,0
9.3,2,0,0,4,4,101,0
9.2,10,0,0,2,2,104,1
4.8,6,0,1,10,9,97,0
9.8,3,1,0,2,4,16,1
3.8,3,0,0,2,7,88,0
8.1,2,0,0,8,7,5,0
7.3,10,0,0,5,1,8,0
4.4,1,0,1,10,4,75,0
4.8,2,0,1,5,10,44,0
4.8,9,0,0,2,2,104,0
3.7,4,1,0,9,1,92,0
2.8,4,1,0,10,3,56,0
8.7,7,1,0,4,7,14,0
8.1,6,0,0,9,3,63,0
6.5,1,0,0,2,7,36,0
5.7,5,1,0,7,5,109,0
9.2,8,1,0,8,2,50,1
5.5,2,0,0,7,10,13,0
3.3,6,0,0,10,7,15,0
3.9,7,1,0,10,10,34,0
9.5,6,1,0,7,8,65,0
4.2,8,0,0,8,8,29,0
2.8,1,0,0,1,3,48,0
6.8,6,0,0,10,2,97,1
8.1,8,0,0,8,8,64,0
4.1,6,0,1,1,7,112,0
4.5,7,1,0,1,3,71,0
7.3,5,0,0,3,5,91,0
6.6,8,1,0,3,9,7,0
5.1,8,1,0,6,5,41,1
3.0,6,1,1,10,1,97,1
9.1,6,1,0,6,6,52,1
4.0,5,0,1,2,5,14,0
4.7,1,1,0,7,10,65,0
7.6,10,0,1,7,10,49,1
4.6,2,1,0,4,6,63,0
4.7,10,1,0,7,4,63,1
7.1,2,0,0,1,5,73,0
7.9,2,0,0,5,2,72,0
8.4,8,1,0,2,5,64,1
6.3,4,1,0,10,9,58,0
7.4,9,0,1,9,3,73,1
8.6,8,1,1,9,10,109,1
8.2,7,0,0,6,8,18,0
8.1,7,1,0,2,4,108,1
5.3,5,0,0,10,4,51,0
2.2,5,1,0,7,7,82,0
9.2,4,0,0,1,5,101,0
3.4,1,1,1,1,2,40,0
6.8,2,1,1,2,7,120,1
3.9,10,0,0,10,9,32,0
6.0,2,0,0,6,6,106,0
8.0,4,1,0,2,3,27,0
9.8,8,1,0,10,1,62,1
2.9,9,1,0,4,5,112,0
8.3,3,1,0,6,5,2,0
2.3,1,0,0,7,5,81,0
9.7,6,0,0,4,8,49,1
9.4,5,1,0,4,5,26,1
8.9,3,1,0,7,1,35,1
9.5,8,1,1,6,7,112,1
9.3,2,0,0,9,2,45,0
6.4,6,1,0,1,3,80,1
5.5,3,0,0,5,6,73,0
6.1,3,1,1,6,8,61,1
9.0,3,1,0,10,6,102,1
4.9,7,1,1,10,4,2,1
9.6,9,0,1,8,4,33,1
5.2,7,1,0,6,3,72,0
2.9,9,1,1,8,8,15,1
9.6,5,1,1,7,3,55,1
8.9,10,0,1,5,4,53,1
2.2,5,0,0,4,6,74,0
7.5,8,0,0,3,6,88,0
5.1,7,1,0,9,1,6,1
4.7,4,1,1,10,10,90,1
4.0,10,1,0,7,6,16,0
9.7,9,0,0,5,3,64,0
5.7,2,1,0,7,3,33,0
2.9,1,0,0,5,6,118,0
4.1,5,1,0,3,6,94,0
10.0,3,1,0,3,1,29,1
3.3,8,1,0,8,1,56,1
4.9,9,1,0,2,3,15,0
4.3,3,1,0,10,4,74,0
10.0,1,0,0,2,4,98,0
4.6,5,0,0,10,2,107,0
4.6,1,0,0,8,8,80,0
2.0,1,1,0,10,3,27,0
8.9,5,1,1,2,9,77,1
3.4,7,0,0,4,3,49,0
8.2,5,0,0,8,7,94,0
7.5,3,1,0,6,9,25,0
5.9,7,1,0,10,7,11,0
6.9,7,1,0,9,6,59,0
7.4,3,1,0,9,2,37,1
8.4,5,0,1,5,4,66,1
5.4,10,0,0,1,9,13,0
5.7,10,1,0,10,2,98,1
6.0,2,1,0,3,7,5,0
4.4,10,1,1,8,10,103,1
4.1,3,0,0,10,5,111,0
2.1,7,0,0,8,8,88,0
5.2,10,1,0,10,6,88,1
5.2,5,0,0,1,4,14,0
8.5,4,0,0,3,4,55,0
6.3,2,1,1,3,8,54,0
2.2,3,0,1,8,8,60,0
3.9,5,1,0,1,2,80,0
8.8,7,1,1,10,10,93,1
5.9,8,1,0,1,9,2,0
5.4,6,0,0,7,8,14,0
4.8,7,0,0,4,8,44,0
5.5,9,0,0,6,10,109,0
3.0,5,1,1,6,8,102,0
9.8,3,0,0,2,8,16,0
5.9,7,1,0,4,9,6,0
10.0,6,1,0,3,3,105,1
8.5,6,1,0,4,2,71,1
3.8,5,1,1,1,9,34,1
9.0,10,0,0,8,8,107,0
8.0,2,0,1,1,9,13,0
3.6,6,0,1,8,9,63,0
7.9,2,0,0,6,3,15,0
5.3,1,0,1,8,6,36,0
6.0,2,1,0,7,6,80,0
8.0,7,0,0,7,7,117,0
5.3,8,1,1,8,3,98,1
9.5,2,1,0,3,7,7,0
